pattern,sequence,value
27,"(3, 3, '+', 6, '*', 9, '*', 4, 7, '+', '+')",335
27,"(3, 3, '+', 6, '*', 9, '*', 7, 4, '+', '+')",335
27,"(3, 3, '+', 9, '*', 6, '*', 4, 7, '+', '+')",335
27,"(3, 3, '+', 9, '*', 6, '*', 7, 4, '+', '+')",335
28,"(3, 6, 3, 4, 9, '*', '*', '+', '*', 7, '-')",335
28,"(3, 6, 3, 9, 4, '*', '*', '+', '*', 7, '-')",335
28,"(3, 6, 4, 3, 9, '*', '*', '+', '*', 7, '-')",335
28,"(3, 6, 4, 9, 3, '*', '*', '+', '*', 7, '-')",335
28,"(3, 6, 9, 3, 4, '*', '*', '+', '*', 7, '-')",335
28,"(3, 6, 9, 4, 3, '*', '*', '+', '*', 7, '-')",335
28,"(4, 6, 9, 3, 3, '+', '*', '*', '+', 7, '+')",335
28,"(4, 9, 6, 3, 3, '+', '*', '*', '+', 7, '+')",335
28,"(7, 6, 9, 3, 3, '+', '*', '*', '+', 4, '+')",335
28,"(7, 9, 6, 3, 3, '+', '*', '*', '+', 4, '+')",335
29,"(3, 6, 3, 4, '*', 9, '*', '+', '*', 7, '-')",335
29,"(3, 6, 3, 9, '*', 4, '*', '+', '*', 7, '-')",335
29,"(3, 6, 4, 3, '*', 9, '*', '+', '*', 7, '-')",335
29,"(3, 6, 4, 9, '*', 3, '*', '+', '*', 7, '-')",335
29,"(3, 6, 9, 3, '*', 4, '*', '+', '*', 7, '-')",335
29,"(3, 6, 9, 4, '*', 3, '*', '+', '*', 7, '-')",335
29,"(4, 6, 3, 3, '+', 9, '*', '*', '+', 7, '+')",335
29,"(4, 9, 3, 3, '+', 6, '*', '*', '+', 7, '+')",335
29,"(7, 6, 3, 3, '+', 9, '*', '*', '+', 4, '+')",335
29,"(7, 9, 3, 3, '+', 6, '*', '*', '+', 4, '+')",335
30,"(4, 3, 3, '+', 6, 9, '*', '*', '+', 7, '+')",335
30,"(4, 3, 3, '+', 9, 6, '*', '*', '+', 7, '+')",335
30,"(4, 6, 9, '*', 3, 3, '+', '*', '+', 7, '+')",335
30,"(4, 9, 6, '*', 3, 3, '+', '*', '+', 7, '+')",335
30,"(7, 3, 3, '+', 6, 9, '*', '*', '+', 4, '+')",335
30,"(7, 3, 3, '+', 9, 6, '*', '*', '+', 4, '+')",335
30,"(7, 6, 9, '*', 3, 3, '+', '*', '+', 4, '+')",335
30,"(7, 9, 6, '*', 3, 3, '+', '*', '+', 4, '+')",335
31,"(3, 3, 4, 9, '*', '*', 6, '+', '*', 7, '-')",335
31,"(3, 3, 9, 4, '*', '*', 6, '+', '*', 7, '-')",335
31,"(3, 4, 3, 9, '*', '*', 6, '+', '*', 7, '-')",335
31,"(3, 4, 9, 3, '*', '*', 6, '+', '*', 7, '-')",335
31,"(3, 9, 3, 4, '*', '*', 6, '+', '*', 7, '-')",335
31,"(3, 9, 4, 3, '*', '*', 6, '+', '*', 7, '-')",335
31,"(4, 6, 3, 3, '+', '*', 9, '*', '+', 7, '+')",335
31,"(4, 9, 3, 3, '+', '*', 6, '*', '+', 7, '+')",335
31,"(7, 6, 3, 3, '+', '*', 9, '*', '+', 4, '+')",335
31,"(7, 9, 3, 3, '+', '*', 6, '*', '+', 4, '+')",335
32,"(3, 3, 4, '*', 9, '*', 6, '+', '*', 7, '-')",335
32,"(3, 3, 9, '*', 4, '*', 6, '+', '*', 7, '-')",335
32,"(3, 4, 3, '*', 9, '*', 6, '+', '*', 7, '-')",335
32,"(3, 4, 9, '*', 3, '*', 6, '+', '*', 7, '-')",335
32,"(3, 9, 3, '*', 4, '*', 6, '+', '*', 7, '-')",335
32,"(3, 9, 4, '*', 3, '*', 6, '+', '*', 7, '-')",335
32,"(4, 3, 3, '+', 6, '*', 9, '*', '+', 7, '+')",335
32,"(4, 3, 3, '+', 9, '*', 6, '*', '+', 7, '+')",335
32,"(7, 3, 3, '+', 6, '*', 9, '*', '+', 4, '+')",335
32,"(7, 3, 3, '+', 9, '*', 6, '*', '+', 4, '+')",335
37,"(6, 3, 4, 9, '*', '*', '+', 3, '*', 7, '-')",335
37,"(6, 3, 9, 4, '*', '*', '+', 3, '*', 7, '-')",335
37,"(6, 4, 3, 9, '*', '*', '+', 3, '*', 7, '-')",335
37,"(6, 4, 9, 3, '*', '*', '+', 3, '*', 7, '-')",335
37,"(6, 9, 3, 3, '+', '*', '*', 4, '+', 7, '+')",335
37,"(6, 9, 3, 3, '+', '*', '*', 7, '+', 4, '+')",335
37,"(6, 9, 3, 4, '*', '*', '+', 3, '*', 7, '-')",335
37,"(6, 9, 4, 3, '*', '*', '+', 3, '*', 7, '-')",335
37,"(9, 6, 3, 3, '+', '*', '*', 4, '+', 7, '+')",335
37,"(9, 6, 3, 3, '+', '*', '*', 7, '+', 4, '+')",335
38,"(6, 3, 3, '+', 9, '*', '*', 4, '+', 7, '+')",335
38,"(6, 3, 3, '+', 9, '*', '*', 7, '+', 4, '+')",335
38,"(6, 3, 4, '*', 9, '*', '+', 3, '*', 7, '-')",335
38,"(6, 3, 9, '*', 4, '*', '+', 3, '*', 7, '-')",335
38,"(6, 4, 3, '*', 9, '*', '+', 3, '*', 7, '-')",335
38,"(6, 4, 9, '*', 3, '*', '+', 3, '*', 7, '-')",335
38,"(6, 9, 3, '*', 4, '*', '+', 3, '*', 7, '-')",335
38,"(6, 9, 4, '*', 3, '*', '+', 3, '*', 7, '-')",335
38,"(9, 3, 3, '+', 6, '*', '*', 4, '+', 7, '+')",335
38,"(9, 3, 3, '+', 6, '*', '*', 7, '+', 4, '+')",335
39,"(3, 3, '+', 6, 9, '*', '*', 4, '+', 7, '+')",335
39,"(3, 3, '+', 6, 9, '*', '*', 7, '+', 4, '+')",335
39,"(3, 3, '+', 9, 6, '*', '*', 4, '+', 7, '+')",335
39,"(3, 3, '+', 9, 6, '*', '*', 7, '+', 4, '+')",335
39,"(6, 9, '*', 3, 3, '+', '*', 4, '+', 7, '+')",335
39,"(6, 9, '*', 3, 3, '+', '*', 7, '+', 4, '+')",335
39,"(9, 6, '*', 3, 3, '+', '*', 4, '+', 7, '+')",335
39,"(9, 6, '*', 3, 3, '+', '*', 7, '+', 4, '+')",335
40,"(3, 4, 9, '*', '*', 6, '+', 3, '*', 7, '-')",335
40,"(3, 9, 4, '*', '*', 6, '+', 3, '*', 7, '-')",335
40,"(4, 3, 9, '*', '*', 6, '+', 3, '*', 7, '-')",335
40,"(4, 9, 3, '*', '*', 6, '+', 3, '*', 7, '-')",335
40,"(6, 3, 3, '+', '*', 9, '*', 4, '+', 7, '+')",335
40,"(6, 3, 3, '+', '*', 9, '*', 7, '+', 4, '+')",335
40,"(9, 3, 3, '+', '*', 6, '*', 4, '+', 7, '+')",335
40,"(9, 3, 3, '+', '*', 6, '*', 7, '+', 4, '+')",335
40,"(9, 3, 4, '*', '*', 6, '+', 3, '*', 7, '-')",335
40,"(9, 4, 3, '*', '*', 6, '+', 3, '*', 7, '-')",335
41,"(3, 3, '+', 6, '*', 9, '*', 4, '+', 7, '+')",335
41,"(3, 3, '+', 6, '*', 9, '*', 7, '+', 4, '+')",335
41,"(3, 3, '+', 9, '*', 6, '*', 4, '+', 7, '+')",335
41,"(3, 3, '+', 9, '*', 6, '*', 7, '+', 4, '+')",335
41,"(3, 4, '*', 9, '*', 6, '+', 3, '*', 7, '-')",335
41,"(3, 9, '*', 4, '*', 6, '+', 3, '*', 7, '-')",335
41,"(4, 3, '*', 9, '*', 6, '+', 3, '*', 7, '-')",335
41,"(4, 9, '*', 3, '*', 6, '+', 3, '*', 7, '-')",335
41,"(9, 3, '*', 4, '*', 6, '+', 3, '*', 7, '-')",335
41,"(9, 4, '*', 3, '*', 6, '+', 3, '*', 7, '-')",335
